2026/04/27 16:43:53 [error] 244#244: *417 open() "/var/www/html/crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:53 [error] 244#244: *417 open() "/var/www/html/admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:54 [error] 244#244: *417 open() "/var/www/html/backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:54 [error] 244#244: *417 open() "/var/www/html/blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:54 [error] 244#244: *417 open() "/var/www/html/workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:54 [error] 244#244: *417 open() "/var/www/html/panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:54 [error] 244#244: *417 open() "/var/www/html/public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:54 [error] 244#244: *417 open() "/var/www/html/apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:55 [error] 244#244: *417 open() "/var/www/html/app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:55 [error] 244#244: *417 open() "/var/www/html/index.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /index.php?s=/index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:55 [error] 244#244: *417 open() "/var/www/html/public/index.php" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /public/index.php?s=/index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 16:43:55 [error] 244#244: *417 open() "/var/www/html/containers/json" failed (2: No such file or directory), client: 15.204.116.85, server: localhost-nginx-proxy-manager, request: "GET /containers/json HTTP/1.1", host: "153.92.211.75:80"
2026/04/27 17:02:31 [error] 244#244: *579 "/var/www/html/HNAP1/index.html" is not found (2: No such file or directory), client: 101.108.98.56, server: localhost-nginx-proxy-manager, request: "POST /HNAP1/ HTTP/1.0", host: "153.92.211.75:80"
2026/04/27 23:57:16 [error] 253#253: *3831 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 92.118.39.29, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "tg4hxi.easypanel.host"
2026/04/28 03:39:49 [error] 253#253: *3877 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 18.204.208.93, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "www.groadminapp.com"
